"pv","date","E_1","E_2","E_3","E_4","E_5","E_6","E_7"
"Hunan",2020-01-27,19.642856320683,63.707366178372,151.988620981147,NA,NA,NA,NA
"Hunan",2020-01-28,30.3888797361634,85.6629638013412,176.173848914432,333.314482463371,NA,NA,NA
"Hunan",2020-01-29,19.4471182933906,71.6536552760303,152.509133619307,276.366134300379,482.944270538872,NA,NA
"Hunan",2020-01-30,16.1357194420128,54.6826860592692,128.317279266127,234.297341275393,390.904991175018,646.037817555037,NA
"Hunan",2020-01-31,13.3728146549698,46.2310069732505,104.572361853422,200.414213329015,332.432480228489,522.981712045522,828.434853663123
"Hunan",2020-02-01,14.1023696684313,44.8363822965197,99.4044516822359,183.443784307245,308.116111429967,473.938363625501,708.552105300223
"Hunan",2020-02-02,9.52467494923271,34.6802532767047,79.0216913431835,150.605610322295,254.786601179745,402.05578759346,594.37305529131
"Hunan",2020-02-03,10.6932615165641,32.041670885534,70.9184737552635,132.15188822802,224.858930840312,354.043359503549,529.363819519877
"Hunan",2020-02-04,9.06869810600025,29.861151054875,62.3764207091521,114.212157868791,191.399105614143,304.055764991106,456.854551582032
"Hunan",2020-02-05,5.96194307020624,21.6988015482655,49.9171305503097,90.64332688496,152.007692198945,240.925179115323,368.250674348661
"Hunan",2020-02-06,6.23763665509234,19.4731502709502,43.3451644029214,80.6230621898325,131.366589074538,204.355880736824,307.584625441854
"Hunan",2020-02-07,2.63673537031039,12.0443185222529,28.9762368416386,56.9825104042865,98.8644513441627,154.698752770699,233.59579388868
"Hunan",2020-02-08,2.43401997267102,8.04771463204152,21.0342696352666,42.1395481037966,74.8135339268858,121.893588103981,183.475538206778
"Hunan",2020-02-09,2.43370873598341,7.71900924806905,16.8199990746243,33.9990639607802,59.9931357468794,98.1350130750569,151.304285615751
"Hunan",2020-02-10,1.80192589075143,6.19447336545319,13.7747069946287,25.6825441508691,46.2360682110914,76.1650224235267,118.707885597263
"Hunan",2020-02-11,1.75988996728785,5.41834556366197,11.8290905267402,21.7738007007961,36.5735411664092,60.603780739306,94.5868562394815
"Hunan",2020-02-12,1.02409872018991,3.92274101925226,8.782480542794,16.4991179983511,27.9737835838002,44.6447556025369,70.9246346248112
"Hunan",2020-02-13,0.777164930002603,2.7322624867288,6.66613417831341,12.6179499992803,21.521762448,34.3872965892612,52.7593882017464
"Hunan",2020-02-14,0.414121184997254,1.69644331950155,4.25669011997632,8.86346091670041,15.5251263309936,25.2006025252691,38.970201227808
"Hunan",2020-02-15,0.069398358342986,0.579085970647298,1.97798284465198,4.6778794706072,9.43993467620962,16.2654115351166,26.1189639783665
"Hunan",2020-02-16,0.0253401355521177,0.141004066123761,0.714402629966112,2.19101599697106,4.9840125065799,9.84959065143456,16.784275140084
"Hunan",2020-02-17,0.00522124417267802,0.0432314475008546,0.182028164186827,0.787282203798197,2.30275381730327,5.14230026873893,10.0596398832197
"Hunan",2020-02-18,0.00367091853391303,0.0141134068792691,0.0647936779835045,0.226723180783805,0.863832696164195,2.4181625561694,5.30425894943188
"Hunan",2020-02-19,0.00442366476831049,0.0154364203700496,0.0363213970607617,0.112341803717115,0.320536878746073,1.0213573456645,2.65340369866997
"Hunan",2020-02-20,-0.00177053336960446,0.00486496378286128,0.0195486379185134,0.0456548587819035,0.134345333214316,0.365673194357602,1.09834913704505
"Hunan",2020-02-21,-0.0095763218916827,-0.0148879220004961,-0.00382876007971986,0.0181967511237583,0.0547454603325045,0.168776070317034,0.446369503688978
"Jiangsu",2020-01-26,10.5691689163401,NA,NA,NA,NA,NA,NA
"Jiangsu",2020-01-27,11.7428013915707,37.5051506251496,NA,NA,NA,NA,NA
"Jiangsu",2020-01-28,12.1105318068381,38.6594740834326,83.578441977878,NA,NA,NA,NA
"Jiangsu",2020-01-29,10.8326318693582,35.4713000280977,77.3369397719584,142.073099384541,NA,NA,NA
"Jiangsu",2020-01-30,12.1728366068407,37.0878899063646,78.0131353225759,139.790481773883,230.288990620045,NA,NA
"Jiangsu",2020-01-31,9.00453183497677,31.7895849708581,68.9816210556546,124.105421004021,203.241691251562,316.199684044947,NA
"Jiangsu",2020-02-01,7.49996438916076,25.5090280591143,58.9062977240363,108.375316594105,177.697671074627,274.192865118403,409.61034185901
"Jiangsu",2020-02-02,6.40400751791639,21.6245234841544,48.9029581607017,93.2245683702243,155.331657754545,239.270171312284,353.634845734538
